id,brand,name,category,why,shop,photo_w,photo_h,photo_url
xiaomi-poco-m7,Xiaomi,POCO M7,phone,source exists but under 600px,mobilecentre / pixel / eldorado,,,
dyson-nural-hd16-strawberry,Dyson,Supersonic Nural HD16,appliance,no source image at all,planet3d / eldorado / pixel,3954,1240,https://3dplanet.am/images/logo.png
dji-osmo-pocket-4,DJI,Osmo Pocket 4,drone,no source image at all,planet3d / allsell / pixel,3954,1240,https://3dplanet.am/images/logo.png
asus-vivobook-15-x1504va,ASUS,Vivobook 15 X1504VA,laptop,no source image at all,planet3d / vlv / eldorado,3954,1240,https://3dplanet.am/images/logo.png
apple-ultra-2,Apple,Watch Ultra 2,watch,no source image at all,planet3d / istyle / zigzag,3954,1240,https://3dplanet.am/images/logo.png
dyson-hd16-nural-plum,Dyson,HD16 Supersonic Nural Jasper Plum,appliance,no source image at all,eldorado / pixel,,,
dyson-origin-hs05,Dyson,Airwrap Origin HS05,appliance,no source image at all,planet3d / ibolit,3954,1240,https://3dplanet.am/images/logo.png
dyson-v12-detect-slim-cordless-vacuum-cleaner,Dyson,V12 Detect Slim Cordless Vacuum Cleaner,appliance,no source image at all,planet3d / ibolit,3954,1240,https://3dplanet.am/images/logo.png
samsung-galaxy-3-fe,Samsung,Galaxy Buds 3 FE,earbuds,source exists but under 600px,mobilecentre / pixel,,,
xiaomi-redmi-buds-6,Xiaomi,Redmi Buds 6,earbuds,no source image at all,ibolit / pixel,700,700,https://ibolit.mobi/wp-content/uploads/2025/03/red2231_1.jpg
beats-flex-all-day,Beats,Flex All-Day,headphones,source exists but under 600px,eldorado / mobilecentre,,,
bose-quietcomfort-45-acoustic,Bose,QuietComfort 45 Acoustic,headphones,no source image at all,istore / eldorado,600,600,https://istore.am/product_image/1760/1700550812_c9b086d058bd3c24c61d.jpgbose1-1.jpg
honor-choice-ros-me01,Honor,CHOICE ROS-ME01,headphones,source exists but under 600px,vlv / eldorado,,,
microsoft-xbox,Microsoft,Xbox Headset,headphones,no source image at all,eldorado / ibolit,,,
hp-omnibook-5-16-ultra-5-225u-16-1-bm0q2ea,HP,OmniBook 5 16,laptop,no source image at all,planet3d / zigzag,3954,1240,https://3dplanet.am/images/logo.png
apple-iphone-15-pro,Apple,iPhone 15 Pro,phone,no source image at all,istore / telecom,600,600,https://istore.am/product_image/1571/1694894487_1ab11214e0ed4d960f80.jpgiPhone%2015.jpg
honor-200,Honor,200,phone,no source image at all,eldorado / allsell,,,
samsung-galaxy-a07s,Samsung,Galaxy A07s,phone,source exists but under 600px,mobilecentre / vlv,,,
samsung-galaxy-a08,Samsung,Galaxy A08,phone,source exists but under 600px,mobilecentre / vlv,,,
xiaomi-redmi-10c,Xiaomi,Redmi 10C,phone,source exists but under 600px,mobilecentre / ucom,,,
xiaomi-redmi-note-15-pro-plus-5g,Xiaomi,Redmi Note 15 Pro Plus 5G,phone,source exists but under 600px,pixel / mobilecentre,1200,627,https://cdn.storech.com/uploads/store-media-files/000/000/000/000/002/575/1784146260-facebook-link-shablon-258.png
xiaomi-redmi-note-17-4g,Xiaomi,Redmi Note 17 4G,phone,source exists but under 600px,mobilecentre / zigzag,,,
jbl-partybox-club-120,JBL,PartyBox Club 120,speaker,no source image at all,eldorado / istyle,,,
apple-ipad-air-11-wi-fi-plus-cellular-2024,Apple,iPad Air 11 Wi-Fi + Cellular 2024,tablet,source exists but under 600px,mobilecentre / ibolit,,,
apple-ipad-air-13-wi-fi-plus-cellular-2024,Apple,iPad Air 13 Wi-Fi + Cellular 2024,tablet,source exists but under 600px,mobilecentre / ibolit,,,
honor-pad-x9a,Honor,Pad X9a,tablet,no source image at all,eldorado / zigzag,,,
hisense-55e7q-pro,Hisense,55E7Q PRO,tv,no source image at all,vlv / eldorado,,,
garmin-instinct-3-50mm-amoled,Garmin,"Instinct 3, AMOLED",watch,no source image at all,zigzag / eldorado,,,
garmin-venu-4-45-mm,Garmin,Venu 4,watch,no source image at all,eldorado / zigzag,,,
honor-choice-infowear-2i-kch-wb01,Honor,Choice Watch 2i,watch,no source image at all,eldorado / zigzag,,,
samsung-galaxy-active-2,Samsung,Galaxy Watch Active 2,watch,source exists but under 600px,mobilecentre / pixel,,,
dyson-airstarit,Dyson,AirStarit,appliance,no source image at all,istyle,700,700,https://istyle.am/storage/products/ht01-amberpng-20260803050327-h6lzvy.webp
dyson-airstarit-2026,Dyson,AirStarit 2026,appliance,no source image at all,istyle,378,825,https://istyle.am/storage/products/53f1b7774d403d948854eed3a1ea00a3-hijpg-20260803050715-swvd9s.webp
